,Year,Rank,Score,Farm,Farmer,Region,Process,Variety_1,Variety_2,Variety_3,Variety_4,Weight (Lbs),High Bid (US$),Total Value (US$),Company Name
0,2021,1,89.28,Pantan Musara,Dilen Ali Gogo,Aceh,Honey,Ateng,Gayo 1,P88,,462.97,80.0,37037.600000000006,Wataru for YAMATOYA COFFEE
1,2021,2,89.04,Ibun Ita,Ita Rosita,Jawa Barat,Natural,Sigararutang,,,,410.06,65.2,26735.912,Proud Mary Coffee Roasters
2,2021,3,88.89,Pantan Musara,Roberto Bagus Syahputra,Aceh,Washed,Ateng,Gayo 1,P88,,577.61,69.1,39912.850999999995,Terarosa (Haksan Co. Ltd)
3,2021,4,88.75,Ijen Lestari,Dandy Darmawan,Jawa Timur,Natural,USDA,Colombia Brazil,,,791.46,35.2,27859.392000000003,SUPREMO COFFEE
4,2021,5,88.58,Ibun Yudi,Yudi,Jawa Barat,Natural,Sigararutang,Kartika,S-795,,454.15,25.1,11399.165,Latorre&Dutch (China) for Cut Hand Group（剁手咖啡群）/ Gee Coffee
5,2021,6,88.49,Koperasi Koerintji Barokah,Triyono,Jambi,Honey,Sigararutang,S-795,Andungsari,,454.15,21.7,9855.054999999998,"MARISSTELLA COFFEE, INTELLIGENTSIA, RYANS COFFEE ROASTERS"
6,2021,7,88.46,Avatara Gayo,Drs Hamdan,Aceh,Natural,Abyssinia,P88,Ateng,Typica,480.61,45.2,21723.572000000004,Blue Bottle Coffee
7,2021,8,88.3,Kamojang,Ahmad Vansyu,Jawa Barat,Washed,Ateng,Sigararutang,S-795,Andungsari,447.54,19.2,8592.768,"MUSEO Co., Ltd. // wondumyungga cafe de Jura alacarte // liike coffee"
8,2021,9,88.25,Topidi,Daeng Halim,Sulawesi Selatan,Washed,Typica,,,,416.67,24.3,10125.081,"Orsir Coffee Co., Ltd."
9,2021,10,88.15,Lereng Gunung Argopuro Krucil,Dinul Haq Sabyli,Jawa Timur,Natural,Cobra,Typica,,,427.7,24.2,10350.34,Herd Coffee Roaster. CARA Instant Coffee. Beska Beans. Mokka Coffee Roaster. Alliance for Coffee Excellence. Coffee Cherry. Coffee Drxx & Bean2Cup
10,2021,11,88.14,Topidi,Daeng Balengkang,Sulawesi Selatan,Natural,Typica,,,,462.97,18.6,8611.242000000002,"Wataru & Co., Ltd."
11,2021,12,88.05,PT Sulotco Jaya Abadi,Samuel Karundeng,Sulawesi Selatan,Washed,S-795,USDA,Catuai,,462.97,19.3,8935.321000000002,"Tashiro Coffee Co., Ltd"
12,2021,13,87.88,Malabar Mountain Coffee,Muhammad Irwan,Jawa Barat,Natural,Lini S 795,Catimor,Sigararutang,,346.13,32.2,11145.386,Cometeer
13,2021,14,87.76,Baru Dadap Petak 46,Saeful Hadi,Jawa Barat,Washed,Typica,,,,522.5,22.6,11808.5,Kopikina Coffee Roaster
14,2021,15,87.72,Ketapanrame,Wardoyo,Jawa Timur,Natural,Typica,P-88,,,456.36,25.3,11545.908000000001,Curve Specialty coffee Roastery
15,2021,16,87.71,Sukaramai,Sabarwin,Aceh,Wet Hull,Ateng,Sigararutang,,,407.86,21.9,8932.134,TAKAMURA COFFEE ROASTERS
16,2021,17,87.69,Batukaang,I Wayan Parum,Bali,Natural,S-795,Cobra,,,429.9,19.0,8168.099999999999,"Wataru & Co., Ltd."
17,2021,18,87.68,Angin-angin,Indo Pole,Sulawesi Selatan,Natural,S-795,,,,462.97,20.1,9305.697000000002,Seng Pan Coffee. Mimosa Coffee. SCAI. Herd Coffee Roaster. Idle Hands Coffee Roasters. Mokka Coffee Roaster
18,2021,19,87.62,Gravfarm Sukaratu,Gravfarm Indonesia,Jawa Barat,Washed,Sigararutang,S-795,,,520.29,19.2,9989.568,"Wataru & Co., Ltd."
19,2021,20,87.62,Papandayan,Enung Sumartini,Jawa Barat,Natural,S-795,Sigararutang,Yellow Bourbon,,478.4,19.7,9424.48,Luigi Lavazza S.p.A.
20,2021,21,87.53,LPE Kelola Agro,Setra Yuhana,Jawa Barat,Natural,Andungsari,S-795,,,476.2,25.1,11952.62,MOMOS COFFEE
21,2021,22,87.22,Sarongge,Santoso,Jawa Barat,Washed,Sigararutang,S-795,Andungsari,,462.97,19.9,9213.103,elbgold Roestkaffee GmbH
22,2021,23,87.21,Pantan Musara,Zakiah,Aceh,Natural,Ateng,P88,,,454.15,25.5,11580.824999999999,Sarutahiko Coffee Inc.
23,2021,24,87.21,Bukit Sama,Dasimah Hakim,Aceh,Wet Hull,Ateng,,,,454.15,23.0,10445.449999999999,Wataru for Voila Coffee
24,2021,25,87.16,Wajamala,Marselina Walu,NTT,Washed,S-795,,,,478.4,18.2,8706.88,"Wataru & Co., Ltd."
25,2021,26,87.1,HT Farm,Mukhlis M,Jambi,Washed,Andungsari,Sigararutang,,,396.83,17.6,6984.2080000000005,Blooms Ltd
